Filename                                                                         :         CODE         DATA
csl_arm_r5.oer5f                                                                 :          764            0
csl_arm_r5_mpu.oer5f                                                             :          304            0
csl_arm_r5_pmu.oer5f                                                             :          336            0
csl_arm_r5_hard_err_cache.oer5f                                                  :           68            0
interrupt.oer5f                                                                  :          484         7728
interrupt_handlers.oer5f                                                         :          816            4
interrupt_register.oer5f                                                         :          268            0
csl_cache.oer5f                                                                  :          252            0
csl_r5.oer5f                                                                     :           40            0
csl_vim.oer5f                                                                    :         1368            0
csl_mcu_armss_ccmr5.oer5f                                                        :          648            0
adc.oer5f                                                                        :          796            0
csl_fw.oer5f                                                                     :         1728            0
csl_cbass_qos.oer5f                                                              :          400            0
csl_cbass_error.oer5f                                                            :          668            0
csl_cpts.oer5f                                                                   :         1288            0
csl_clec.oer5f                                                                   :          416            0
csirx.oer5f                                                                      :         7988         1024
csirx_ss.oer5f                                                                   :          592            0
csirx_sanity.oer5f                                                               :         4368            0
csitx_sanity.oer5f                                                               :         1332            0
csitx.oer5f                                                                      :         3340          224
csitx_ss.oer5f                                                                   :          732            0
crc.oer5f                                                                        :         2140           80
dcc.oer5f                                                                        :          528            0
lpddr4.oer5f                                                                     :         4680            0
lpddr4_ctl_regs_rw_masks.oer5f                                                   :            0         6056
lpddr4_obj_if.oer5f                                                              :           12          136
csl_dru.oer5f                                                                    :         1088            0
csl_dssCommon.oer5f                                                              :          896            0
csl_dssVideoPipe.oer5f                                                           :         4324         3176
csl_dssWbPipe.oer5f                                                              :         3504         3292
csl_dssOverlay.oer5f                                                             :          384            0
csl_dssVideoPort.oer5f                                                           :         2164         1160
csl_ecc_aggr.oer5f                                                               :         5068            0
elm.oer5f                                                                        :          772           36
csl_emif.oer5f                                                                   :          720            0
csl_epwm.oer5f                                                                   :         1524            0
csl_hrpwm.oer5f                                                                  :           44            0
csl_esm.oer5f                                                                    :         1724            0
csl_fss.oer5f                                                                    :         2872            0
gpio.oer5f                                                                       :          576            0
gpmc.oer5f                                                                       :         2072           60
csl_hyperbus.oer5f                                                               :          820            0
i2c.oer5f                                                                        :         1196           28
csl_intaggr.oer5f                                                                :          972            0
csl_intr_router.oer5f                                                            :          428            0
mailbox.oer5f                                                                    :          376            0
mcan.oer5f                                                                       :        11592          112
mcasp.oer5f                                                                      :         2088            0
mcspi.oer5f                                                                      :         1112            0
mmcsd.oer5f                                                                      :         8880            0
mmcsdphy.oer5f                                                                   :         1088          176
low_level_hw.oer5f                                                               :          468            0
csl_ospi.oer5f                                                                   :         2024            0
csl_proxy.oer5f                                                                  :          488            0
csl_psilcfg.oer5f                                                                :         1908            0
csl_pvu.oer5f                                                                    :         1152            0
csl_rat.oer5f                                                                    :         2284            0
csl_ringacc.oer5f                                                                :         3840            0
rti.oer5f                                                                        :         1476            0
csl_sec_proxy.oer5f                                                              :          584            0
csl_spinlock.oer5f                                                               :          176            0
timer.oer5f                                                                      :         5260            0
csl_timer_mgr.oer5f                                                              :          860            0
uart.oer5f                                                                       :         5360            0
